symbol,category,source,present_in_library
INPPL1,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
STAT3,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
INPP5D,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
LGALS9,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
PIK3CD,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
STAT5B,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
GRB2,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
LCK,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
IL3RA,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
CSF2RA,REACTOME_IL2_FAMILY_SIGNALING,MSigDB REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING (M1012 R-HSA-451927) v2026.1.Hs Reactome-95 gsea-msigdb.org accessed 2026-07,True
TAB1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TNFSF13B,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PPP1R13L,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
MALT1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
GADD45G,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
EDAR,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TIRAP,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CHUK,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TNFRSF13C,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
EDARADD,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PARP1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CSNK2A1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CSNK2A2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CSNK2B,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TICAM1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CYLD,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
GADD45A,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
EDA,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
ERC1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TAB2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
RIGI,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
LY96,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TAB3,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
LAT,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CSNK2A3,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CXCL1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CXCL2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CXCL3,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
BLNK,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CARD10,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
BIRC2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
BIRC3,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
XIAP,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
ICAM1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TICAM2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
IKBKB,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
IL1B,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
IL1R1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CXCL8,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
IRAK1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CCL4L1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
LBP,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
LCK,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
LTA,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
LTB,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
LTBR,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
LYN,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
MYD88,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
GADD45B,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
ATM,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
NFKB1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
NFKB2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
NFKBIA,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
IRAK4,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PIAS4,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PLAU,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
PLCG1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PLCG2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PIDD1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PRKCB,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PRKCQ,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
PTGS2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
BCL2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
BCL2A1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
RELA,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
RELB,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
BCL2L1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
EDA2R,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CCL4,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CCL13,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CCL19,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CCL21,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CXCL12,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
SYK,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
MAP3K7,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
BTK,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TLR4,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
TNF,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TNFAIP3,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TNFRSF1A,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRAF1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRAF2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRAF3,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRAF5,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRAF6,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
UBE2I,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
VCAM1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
ZAP70,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRIM25,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CARD14,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
CARD11,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
IKBKG,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
TNFSF11,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TRADD,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
RIPK1,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TNFSF14,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
TNFRSF11A,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CFLAR,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,False
BCL10,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
MAP3K14,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CD14,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CCL4L2,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CD40,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
CD40LG,KEGG_NFKB_SIGNALING,KEGG PATHWAY hsa04064 NF-kappaB signaling pathway rest.kegg.jp/get/hsa04064 accessed 2026-07,True
