src,dst,seed,ground_truth,metric,pool_n,base_rate,n_reg_in_pool,val_pertema,val_magnitude,val_similarity,val_rand_gate,val_lshuf_gate,delta_pertema_minus_magnitude,enrichment_pertema,p_perm_label,p_perm_magnitude_matched,p_perm_degree_matched
Rest,Stim48hr,42,functional,auroc,11102,0.003422806701495226,38,0.415505955778818,0.5434243825398638,0.22127478403166267,0.5156577044563687,0.5174011492940594,-0.1279184267610458,,0.06893106893106893,0.054945054945054944,0.0989010989010989
Rest,Stim48hr,42,functional,prec@25,11102,0.003422806701495226,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,42,functional,prec@50,11102,0.003422806701495226,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,42,functional,prec@100,11102,0.003422806701495226,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,42,pathway,auroc,11102,0.022338317420284633,248,0.4514984813091056,0.5372643948715206,,0.5051205665222276,0.47817996338498664,-0.08576591356241497,,0.001998001998001998,0.012987012987012988,0.001998001998001998
Rest,Stim48hr,42,pathway,prec@25,11102,0.022338317420284633,248,0.0,0.0,0.0,0.04,0.04,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,42,pathway,prec@50,11102,0.022338317420284633,248,0.0,0.0,0.0,0.02,0.04,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,42,pathway,prec@100,11102,0.022338317420284633,248,0.0,0.02,0.0,0.01,0.02,-0.02,0.0,0.47152847152847155,0.4005994005994006,0.4915084915084915
Rest,Stim48hr,43,functional,auroc,11102,0.003422806701495226,38,0.4224821136354987,0.5314937968565666,0.23292113825779198,0.5171692449670815,0.5561565247174335,-0.10901168322106791,,0.0989010989010989,0.03296703296703297,0.14185814185814186
Rest,Stim48hr,43,functional,prec@25,11102,0.003422806701495226,38,0.0,0.0,0.0,0.04,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,43,functional,prec@50,11102,0.003422806701495226,38,0.0,0.0,0.0,0.02,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,43,functional,prec@100,11102,0.003422806701495226,38,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,43,pathway,auroc,11102,0.022338317420284633,248,0.45562807230276337,0.5412221672402623,,0.4834573027930836,0.514427377746869,-0.08559409493749892,,0.000999000999000999,0.017982017982017984,0.000999000999000999
Rest,Stim48hr,43,pathway,prec@25,11102,0.022338317420284633,248,0.04,0.0,0.0,0.0,0.04,0.04,1.7906451612903227,0.5564435564435565,0.5754245754245755,0.5304695304695305
Rest,Stim48hr,43,pathway,prec@50,11102,0.022338317420284633,248,0.02,0.0,0.0,0.0,0.02,0.02,0.8953225806451613,0.6803196803196803,0.7072927072927073,0.7392607392607392
Rest,Stim48hr,43,pathway,prec@100,11102,0.022338317420284633,248,0.01,0.02,0.0,0.0,0.05,-0.01,0.4476612903225807,0.8111888111888111,0.8041958041958042,0.8011988011988012
Rest,Stim48hr,44,functional,auroc,11102,0.003422806701495226,38,0.4541899760246603,0.5578214788598393,0.22916428816074894,0.4290384651977014,0.48467052936027705,-0.10363150283517902,,0.11988011988011989,0.16283716283716285,0.18181818181818182
Rest,Stim48hr,44,functional,prec@25,11102,0.003422806701495226,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,44,functional,prec@50,11102,0.003422806701495226,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,44,functional,prec@100,11102,0.003422806701495226,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim48hr,44,pathway,auroc,11102,0.022338317420284633,248,0.47624890779079515,0.5435282518114327,,0.4630848148742548,0.4859939029464386,-0.06727934402063757,,0.012987012987012988,0.17282717282717283,0.016983016983016984
Rest,Stim48hr,44,pathway,prec@25,11102,0.022338317420284633,248,0.08,0.0,0.0,0.08,0.04,0.08,3.5812903225806454,0.15384615384615385,0.15084915084915085,0.12687312687312688
Rest,Stim48hr,44,pathway,prec@50,11102,0.022338317420284633,248,0.06,0.0,0.0,0.08,0.02,0.06,2.685967741935484,0.07892107892107893,0.10589410589410589,0.0969030969030969
Rest,Stim48hr,44,pathway,prec@100,11102,0.022338317420284633,248,0.03,0.02,0.0,0.07,0.01,0.009999999999999998,1.342983870967742,0.8101898101898102,0.8161838161838162,0.8171828171828172
Rest,Stim8hr,42,functional,auroc,11231,0.003383492120024931,38,0.49326176604738864,0.5435610602491219,0.22129902617707495,0.49942750873431235,0.5620829747915755,-0.050299294201733236,,0.46653346653346656,0.5674325674325674,0.5154845154845155
Rest,Stim8hr,42,functional,prec@25,11231,0.003383492120024931,38,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,1.0,1.0
Rest,Stim8hr,42,functional,prec@50,11231,0.003383492120024931,38,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,1.0,1.0
Rest,Stim8hr,42,functional,prec@100,11231,0.003383492120024931,38,0.0,0.0,0.0,0.0,0.02,0.0,0.0,1.0,1.0,1.0
Rest,Stim8hr,42,pathway,auroc,11231,0.022170777312794942,249,0.49608541615012225,0.5354161135527358,,0.5356964188935673,0.5165462432501816,-0.039330697402613524,,0.15284715284715283,0.5344655344655345,0.17082917082917082
Rest,Stim8hr,42,pathway,prec@25,11231,0.022170777312794942,249,0.04,0.0,0.0,0.0,0.04,0.04,1.8041767068273094,0.5164835164835165,0.5044955044955045,0.48151848151848153
Rest,Stim8hr,42,pathway,prec@50,11231,0.022170777312794942,249,0.04,0.0,0.0,0.0,0.04,0.04,1.8041767068273094,0.26873126873126874,0.24975024975024976,0.2757242757242757
Rest,Stim8hr,42,pathway,prec@100,11231,0.022170777312794942,249,0.02,0.02,0.0,0.02,0.04,0.0,0.9020883534136547,1.0,1.0,1.0
Rest,Stim8hr,43,functional,auroc,11231,0.003383492120024931,38,0.46279394546403535,0.5318126460616833,0.23288403936670946,0.4794584961465578,0.4570020266425915,-0.06901870059764798,,0.3116883116883117,0.18981018981018982,0.3596403596403596
Rest,Stim8hr,43,functional,prec@25,11231,0.003383492120024931,38,0.04,0.0,0.0,0.0,0.0,0.04,11.822105263157894,0.15384615384615385,0.15484515484515485,0.12687312687312688
Rest,Stim8hr,43,functional,prec@50,11231,0.003383492120024931,38,0.02,0.0,0.0,0.0,0.0,0.02,5.911052631578947,0.2787212787212787,0.25874125874125875,0.2547452547452547
Rest,Stim8hr,43,functional,prec@100,11231,0.003383492120024931,38,0.01,0.0,0.0,0.0,0.0,0.01,2.9555263157894736,0.43156843156843155,0.4435564435564436,0.4385614385614386
Rest,Stim8hr,43,pathway,auroc,11231,0.022170777312794942,249,0.5227409364282846,0.5395673021717173,,0.5060513406750294,0.4321992029308273,-0.01682636574343277,,0.5344655344655345,0.9430569430569431,0.5734265734265734
Rest,Stim8hr,43,pathway,prec@25,11231,0.022170777312794942,249,0.04,0.0,0.0,0.12,0.04,0.04,1.8041767068273094,0.5584415584415584,0.5984015984015985,0.5274725274725275
Rest,Stim8hr,43,pathway,prec@50,11231,0.022170777312794942,249,0.02,0.0,0.0,0.06,0.06,0.02,0.9020883534136547,0.7052947052947053,0.7122877122877123,0.7082917082917083
Rest,Stim8hr,43,pathway,prec@100,11231,0.022170777312794942,249,0.01,0.02,0.0,0.04,0.04,-0.01,0.45104417670682734,0.8031968031968032,0.8101898101898102,0.8131868131868132
Rest,Stim8hr,44,functional,auroc,11231,0.003383492120024931,38,0.49815086496729627,0.5579097838404642,0.22918694484804883,0.473451452270451,0.44377359910094183,-0.05975891887316792,,0.36163836163836166,0.45354645354645357,0.43656343656343655
Rest,Stim8hr,44,functional,prec@25,11231,0.003383492120024931,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim8hr,44,functional,prec@50,11231,0.003383492120024931,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim8hr,44,functional,prec@100,11231,0.003383492120024931,38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Rest,Stim8hr,44,pathway,auroc,11231,0.022170777312794942,249,0.49257309697723695,0.5415782598615185,,0.5348176534219193,0.5533651634401383,-0.04900516288428158,,0.06793206793206794,0.47352647352647353,0.0959040959040959
Rest,Stim8hr,44,pathway,prec@25,11231,0.022170777312794942,249,0.04,0.0,0.0,0.08,0.0,0.04,1.8041767068273094,0.5554445554445554,0.5854145854145855,0.5514485514485514
Rest,Stim8hr,44,pathway,prec@50,11231,0.022170777312794942,249,0.06,0.0,0.0,0.06,0.04,0.06,2.706265060240964,0.07792207792207792,0.0959040959040959,0.06293706293706294
Rest,Stim8hr,44,pathway,prec@100,11231,0.022170777312794942,249,0.03,0.02,0.0,0.05,0.03,0.009999999999999998,1.353132530120482,0.7712287712287712,0.8431568431568431,0.8191808191808192
